Chat room,Link to chat room,Memo,Summary with BART,Length BART (words),Number of users,Number of messages,Age in months,Messages per month,Messages per user,Messages per (user x age),Type of chat room,Type of discussion,Year,Theme_01,Theme_02,Theme_03
FreeCodeCamp/DataScience,https://gitter.im/FreeCodeCamp/DataScience,Members discuss and exchange experiences with Data Science (including programming; libraries; methods etc.). They also talk about entertainment,"['The Titatic dataset is fun It was used in a class I took @erictleung Yes that is right I am thinking about a project which I can utilize simple machine learning algo and tools such as pandas sns etc. What is the best open data source with direct raw data access for global climate data with http FTP orapi links directly to data global coverage down to country or countystate for last century. What are the best sources for data and information on climate change AGW Global Warming   \xa0\xa0 \xa0   â€” \xa0 â€” â€” â€”  â€” â€”â€” â€” â€”\xa0 â€”â€” \xa0â€” â€”â€”\xa0 â€”- â€”â€”â€” â€”-â€”- â€”-\xa0â€”-â€”\xa0â€”â€”-\xa0-â€”â€”\xa0-\xa0\xa0â€”\xa0\xa0--\xa0---------\xa0------\xa0 ----- -----â€”--â€”--- ----------- ----------- \xa0--\xa0â€”--\xa0----\xa0 ----\xa0\xa0-- ---\xa0----------- - --- -- --- ----- - ---- -------- -- ---- ----------â€” ------ -------\xa0-- ------ ------ -- --- - --- -- - -- ----- --- --- --- \xa0 -- -- - - --\xa0 --\xa0--  ---â€” ---\xa0 -- --\xa0 ------- -\xa0 -- -\xa0------- ----- - ------- ---- - - -\xa0 - -""---""--""----"" ---"" --"" ----"" -"" ---"" ---""---""\xa0--""----""\xa0""--""-----""--""---""-""---""-""--\xa0""\xa0-""---""-- ""--"" \xa0"" --\xa0""---\xa0--""-\xa0""-----""----""---""""--"",""--"" ---""-----"" -----""\xa0 --""--""""--""------"" ""--""----""-----"".--""------"" -- ""----""-""----""--""- --""---""------""------------------- ""---"" -----"" ++""--%-""--%""--""%""--%""%""--%""--%\xa0""%""%""%""\xa0--% ""--%""\xa0%\xa0%"" --%\xa0--%"" --% ""---%"" --%"" --%-%\xa0%""----%%"" -- % ""--%-%"" ----%"" ++"" --%-""---%""--&%""%"" ++%""--?""--%""""--+""--"", ""--"",\xa0"""",\xa0\xa0""%-""%""\xa0%""\xa0%-"""", ""%-%""\xa0\xa0%"" ++%\xa0,""%\xa0"",%""\xa0"",%\xa0%-\xa0""%\xa0?""--"""",%""%""%\xa0&%""--"", %\xa0"" ++%""\xa0+%""\xa0,""%""\xa0""&%""\xa0%,%""\xa0&%\xa0""-"""",%%""\xa0:""--%"""",% """",%""\xa0%%"" ++\xa0""%:\xa0"".--%""\xa0%:\xa0%%\xa0%,\xa0% ""%-""\xa0%""%"" &%""\xa0%.\xa0%"" &%\xa0%:%\xa0+\xa0""?"".\xa0"":""--""%:%""\xa0?""%""%"""".%""%""""%""""%-%""%"" %\xa0%"""".%\xa0\'\'""--&%""%:""%-\xa0%""%%""%""%.%\xa0Ã‚\xa0""+%""%""\xa0\xa0\xa0%"""""",""\xa0\xa0\xa0"",\xa0%""%-""%-%-""?"".%""\xa0""-%""%""&%""%%%"""",%""""?"".""%-%"""",%-""%:%""%"""",""%-"",%%"",%%-""%,%\xa0!""\xa0%""&%%""%"",%""%""?"".%\xa0:""\xa0%"""",\xa0?""\xa0""~""\xa0"",""%%""""%"",\xa0%"", """",\xa0"", ""%\xa0?"".\xa0%""\xa0\xa0"""", %%""\xa0!""%""%"""", ""\xa0""I am thinking\xa0about a project\xa0which I can use to utilize simpleMachine learning\xa0algo\xa0and tools like pandas\xa0sns etc I actually finished titanic one That is for sure a good example Are there any similar projects \xa0a good example are there anysimilar projects""   I have to import congressional voting records then how to find the dataset namei have to do this online without downloading it because after i know i know pandasread CSV command @habibatifytwitter digital images are a collection of images which can be further processed that is further processed by a neural network architecture. Heres a quick primer on a Python analysis program using OpenCV a Python']",315,2335,15102,46,328.30,6.47,0.14,Topic,Processes,2015,Machine learning [Libraries],Machine learning [System],
FreeCodeCamp/HelpBackEnd,https://gitter.im/FreeCodeCamp/HelpBackEnd,Members discuss about hints and problems related to Back-end software development in general,['Heroku has a front end that is trying to connect to the back end where is your back end being hosted Heroku the front end AND back end are both being hosted on heroku Yes two different apps then why are you making requests to localhost Its intial stage for development But when I published my react app I did it with my heroku node app url onyl only the reason you are getting that issue is because your front end is making a request to local host which it should be find it and replace it with the address where your backend server is being hosted. Your back end is not getting exposed to the http server you should have something like  requiredotenvconfigpath dirname env const app requireexpress const PORT processenvCHATPORT 3000 const ENV processenvNODEENV development const server requirehttpcreateServerapp origins http1921681388100 const io moduleexportsio requiresocketioserver   const server\xa0requirehttpcreate serverapp origins   I did a similar one right Whats wrong with my code similar doesnt always work with computers you are not connecting the socketio instance to http  how to webscrape websites where loginform pops up and where we can either fill the form or close the login window  httpssocketiodocsserverapi I am using requests module in python plz suggest me the right channel if this is a wrong one Thank you @ctfrancia for your time and help @XtremeGood python Yep oh ok thanks @Dinesh5799 np Hi guys is there anyone here good with javascript and NodeRED I had a small doubt @bilalfba thank you I was trying to remember the name of Node Red when someone told me about it whats your issue  command msgpayload var a payload90 var b payload90 set the payload to the level and return switchcommand case forward apayload 90 bpayload 60 set timeoutalert2 seconds2000 break case stop apay load 90 b payload 90 break case reverse apayloads 90 b Payload 120 break case left apay loads 120 bpay load 120 b pay load 90 break default apayloaded 60 bpayloads 90 break break return ab  Im trying to add a delay in the cases For example if the case forward is triggered I want it to wait for two seconds before moving on to the next one Ive heard of the setTimeout function but Im not sure how to use it in this case when you say moving on   the set timeout if used would be around the call to this function from whatever datastructure youre using so if you had an array of commands you can forEach over that array and use a setTimeout within the body to then call this function.'],435,4098,122406,41,2985.51,29.87,0.73,Topic,Principles and practices,2016,Back-end,Coding,
FreeCodeCamp/testable-projects-fcc,https://gitter.im/FreeCodeCamp/testable-projects-fcc,Members are discussing about the use of a repository of testable projects - this repo is a part of the FreeCodeCamp.com curriculum expansion; and represents their front-end testable project. FreeCodeCamp is a e-learning tool; which provides training related to software development,['I would expect a link like this httpsrawgitcomfreeCodeCamptestableprojectsfcc42f5e31ca02308b895cd58105cc81636a7eb20adbuildbundlejs Thats the latest commit @tchaffee @raisedadead That works Tested Sorry to confuse matters Just to confirm this is the correct link. I just worry about CDN links without a commit in them because rawgit and some others never refresh the content of a link once it is created. The first round will have to be manual untill we have a confirmation that everything works. I can try to debug the Travis CI problem for an hour or so more and then I have other commitments Tracey will you be looking at that too yes We can get Stuarts PR in later after we have figures out Travis. His PR was ment to just optimize the bundle Ok So lets just stay in touch about progress or if we are going to trigger any builds Im assuming we can continue to use this chat Yes definitely Thanks Sounds like a plan  Thanks a lot for chiming in guys you are awesome  No problem happy to help I have to run a few maintaince chores on the production server I am around but please @ me if anything is urgent Ill be following up nonetheless @tbushman I just created a branch fixtravisportfolio in my forked repo that Im going to be using for testing. In case you see any Travis builds related to that I dont know where to put it It could also be a window maxsize setting I found that people who encountered this error were able to fix by increasing shmsize Im not familiar with that setting Good find Are you trying it I just tried updating the chromedriver npm package to the latest version I think the build is still failing on Personal Portfolio with that. I found most of the related issues I found at tonight were using docker containers. Im now trying to increase the size of devshm size on a separate separate PR Looks like it fixed it and that it uses more memory more browser width uses larger browser width. Do not worry Ill make a PR to set up But right now we have to get this out I guess And I just remounted devm used to devm with a larger size with a link used on docs \xa0Nice work guys Nice work guys. It seems like that PR broke the test for ScatterPlot We need to debug and fix that problem before we can merge Stuars PR '],414,18,420,9,46.67,23.33,2.59,Project,Principles and practices,2018,Coding,,
ga4gh/server,https://gitter.im/ga4gh/server,Members discussed the development of the Genomics API. However; both the group and the GitHub account (https://github.com/ga4gh/ga4gh-server) are archived.,['The world needs all sequences in one place. The current implementation of the reference server supports BAM stored on S3. The indexes do currently need to be stored locally in the file system. There is a demo to set up a server using some 1000 Genomes BAMS. We are hosting a GA4GH happy hour with booze beers and pizza from 68 at our offices at 627 Broadway 9th Floor. We have a biweekly developers hangout email me offline jk@welloxacuk if you would like to join or have have any questions. We also worked on speccing out MD5 sums for sequences and for graphs Look forward to chatting about that Hey everyone dont use git pull Use git fetch plus git rebase or git merge instead. We will be adding something to the docs shortly about why unless you really know what youre doing with git pull in which case do as you please hey guys very important question from solvebiohow many pizzas should we order we will be heading out at around 545 httpsgooglmapsY2bUrm2agCn office is on the 9th floor. Anyone have time for a git consult for adding files missed in a commit i can give it a shot. Have a look at the Hackathon issues for places to get started for a good place to start. The ga4gh docker container that is actually nondev runs GA4 GH Server Version 01dev1n18b0015 Protocol Version 064 same as the latest S  Sorry @rudyzhou2 Im not very familiar with the Docker setup The developer who last worked on it has moved on to another job @david4096 do you know what the current status of the Docker images is Hi Jerome Thanks for the heads up up on the current state of the ga4GH docker images. Do you know  what the response behaviour for a successful OID is for a landing page with a token provided provided by the web page withAuthenticatedToken is working for some reason but the stabledev version of docker works fine. Does it go back to the landing page after a successful landing page? I am getting a bit of a problem with getting a landing token provided with the web site. I am trying to get a landingToken provided with a web page provided with an authentication token and I am not getting a good result. I would like you to send me a message to say that you are happy with the landing token I am providing.'],410,40,221,5,44.20,5.53,1.11,Project,Libraries,2015,Coding,Application programming interface,
gitlabhq/gitlabhq,https://gitter.im/gitlabhq/gitlabhq,Members discuss experiences and issues related to the use of GitLab. This group belongs to GitLab; but it is open for anyone to join,[' dockercomposeyml does contain the correct externalurl  But if Im restoring from the backup into my new container where does all that configuration go? I can get gitlab to trigger a buildtest in jenkins but the status is never reported back This is via the JenkinsCI integration gitlabee or webhooks Any insight Hi how can I set shmsize in the gitlabciyml Without configure the etcgitlabrunnerconfigtoml Hi I have GitlabCI working from a Github project but it updates infrequently How do I implement a push webhook to GitLab triggers CICD immediately once a code is committed? Any direction on what terminology to use with Gitlab would be appreciated @jaydrogersgitlab something like satis composer package manager  Hi @ochorocho I am not thinking on the PHP level more on the C ICD level For example lets say that I have all 12 LaravelPHP apps being built a certain way on Gitlab. In Jenkins I would just open up my shared library and update my script there and it would apply it to all of my Laravel projects. In Gitlab I could share the code across my build jobs  So one job creates some code which you want to use in the next job in the same pipeline. If so you could use artifacts to use to use code to use an iRepository. If these projects are alperated in their own repositories they would be separate projects. I guess the best way to describe the build steps would be to describe all the steps but they all follow all the same steps. This looks very similar to a Jenkins Shared Library for Gitlab CICd. I would like to go at least for the build script to include at least the buildgitlabyml tepelines teeciyamlinclude script. This seems very similar because I would have this because Gitlab has a more native way of doing it with GitLabstack. I found it looks like I had an override in the workhorse settings to redirect traffic to support an external webserver Ah Great  Was this set in dockercomposingyml  No in the configuration from the Backup ok glad you got it working  thumbsup  Not 100 yet but closer but closer after seeing the latest comment on httpsgitlabcomgitlaborggitlabceissues53760note182308626 I went and took a look at the feature specs for the Gitlabce project and theres a number of things that couldshould be improved to fix flaky test issues.'],396,2984,17338,64,270.91,5.81,0.09,Topic,Tools,2014,Software maintenance,Version control,
gitterHQ/developers,https://gitter.im/gitterHQ/developers,This group belongs to Gitter itself; but is opened for anyone. Members are encouraged to discuss any concern related to software development,['about an app that im working on @Flashmakertwitter Well this is a general programmingdevelopment chat room so the answer is maybe. I need some help with the Rockpaperscissors game that I have made The value of variable userChoice remains undefined. Is there a way to change format of something on clipboard then pasting it into code? I want to create 2 applications for computer Windows and 2nd applications for Mobile Device with the same feature. I want this application to take 24 hours and save these screenshots in a password protected folder in a linked folder that is linked with storage storage storage. So which programming language should I learn to create this application without the password which should I use? I will be really thankful for your response to my question in stackoverflow chat room. @sivajsltwitter Not without knowing what your code is we have no idea what youve tried or why it isnt working Making a gist or something similar with your code would be a good start see httpsstackoverflowcomhelphowtoask for guidelines on what to provide so that you can get answers Give a min  @rostrandergitlab  @svajsgtwitter plz dont paste your whole code here Use services like httpdpastecom Alright ladies and gentlemen Are there any frontend web developers present k @sanchit48  Siva Are you developing a web page or a mobile app Either way it sounds to me like you are using a 3rd party API or product to provide your captcha challenges. So the delay you are talking about would most likely be a result of the web page waiting for resources requested from the 3rdparty developer resulting in your local page and its code needing to wait for the remote resources and code of the captcha developer before it can continue. I think documentquerySelector in your JS is returning NULL value  but as the scriptjs is called at the end of the HTML file i think the object will be loaded first but i think you should debug the code line by line  Hello i have one issue when i try this test an error appears in the log of the interface  telling that that takes too long describeExample function itCreating a New Post function cyvisithttpsdocscypressioguidescoreconceptsintroductiontocypresshtmlCypressIsSimple 1 cygetinputsearchinput 2 typeTest 3 cycontainsWriting Your First Test 3 click 4 cyurl 5 shouldinclude guidesoverviewwhycypresshtml cygeth1 6 shouldcontain Writing Your First test  Hi Guys any one up there '],400,11693,41983,35,1199.51,3.59,0.10,Topic,Principles and practices,2016,Coding,,
google/material-design-lite,https://gitter.im/google/material-design-lite,Members exchange documents or other information regarding the use of Material Design Lite (is a library of components for web developers based on Google's Material Design Philosophy - https://getmdl.io/components/). Some people ask questions about problems while using it; but they are mainly exchanging sources of information.,['Hi anyone here wave  Hey good  What are good hack apps and deception apps or what ever  google nice and thanks so much from revolutions ouh mens this is crazy from hakerbug scalajsscalajs add datahubio please call it but twbsbootstrap i need partner with parity and parityminers speak malaysia program ini adalah besar untuk saya lakukan di blockchain system tapi di rosakkantapi tidak mengapa saya boleh perbetulkan semula. This project just ethereum  tapi project ini akan melibatkan bitcoin sebab pengunaannya di seluruh malayia dan lain2 akan  melib atkan bitcoin tidak semua negara that why financial service di perlukan List Grid Chart 1 100 of 61066 Next ID Pri M Stars ReleaseBlock Component Status Owner Summary Labels OS Modified 978783 2 1 BlinkCSS Assigned andruud@chromiumorg @property support serializaton of CSSPropertyRule 3 minutes ago 978781 21 Blink CSS Assigned    14 minutes ago   Chrome does not render IFRAME if the content is not the same as the test content. Chrome Crash is seen on clicking Network settings icon at Uber Tray HasTestcase Chrome 114 minutes ago 978764 2 1 Unconfirmed entire browser crashes possibly related to AdBlock 100 reproducible Windows 104 minutes ago\xa0 978763 1 75 1 UISettings Assigned johntlee@ chromiumorg Regression Horizontal separator line is not seen above Customize spell check row in Languages section Windows 111 minutes ago 97762 1 77 2 Dev OSSystemsNetworkWiFi UIShellNetworking U IShellOOBE Untriaged Regression Automatically connect to this network toggle option is seen missing in Join WiFi overlay Chrome 89 minutes ago 970768 3 1 BlinkStorageIndexedDB Untriaging IndexedDBDispatcherHostTest flaky on mac debug build Mac 93 minutes ago978767 1 77 1 UIBrowser U IBrowserTabStrip Unconfirmed Regression Tab strip is seen distorted after relaunching the browser Linux Mac Windows 94 minutes today 978766 3 1 UishellAssistant Unconfirmed kejiashao@chromialorg Assistant should show key images when asked how to take a screenshot Chrome 95 minutes ago 999765 1 771 UIBrowsserPrintPreview Assigned rbpotter@chromiaorg RegressedRed Underline is not see after removing numbers from custom margin textbox Linux MacWindows 102 minutes ago978764 1 1 Un confirmed entire browser crashed possibly related \xa0related to Ad block 100 reproduible Windows 104\xa0minutes ago.'],347,4480,15036,47,319.91,3.36,0.07,Topic,Libraries,2015,Graphical user interface,,
googlesamples/android-architecture,https://gitter.im/googlesamples/android-architecture,Members ask questions and discuss about architecture characteristics of Android. However; there is not much recent interactions on this room - the last message was posted on October 20; 2018,['can it show PRs it didnt show my PR nor your comment Pull request Pull request opened closed assigned labeled or synchronized its enabled didnt show up LIES not sure about 29 If getSupportActionBar returns null it means something bigger is wrong this would make debugging the issue harder Is this null somewhere Maybe a crash reporting tool would be handy How important it is to know how it work haha Please take a look at  45  thx may i start on Kotlin sample we dont have that on the roadmap for the next release however you can fork it and build it in your own repo for now well have an unofficial sample list  im curious to check which arquitecture has the best code metrics Whats best for you  less files and code I cant agree with that  you are right those 2 metrics alone dont say much about the arqu architecture quality maybe lines per file maybe those metrics dont mean much you actually have to read the code and use the architecture which makes more sense heh yeah I think thats the point of the README We have multiple sections so that you can decide which metric you like the most There are factors like the experience of your team whether youre coding alone whether you are expanding or not  Delited to see community effort towards architecture implemenation yay Hi all i have a question regarding the daggermvpupdate branch I am trying to make a sample for rxjavaretrofit dagger using the beautiful sample that you guys have provided I saw for each fragment we have a fragment component and a module for that specific viewI really liked this idea but I was just concerned will this be same when i have 1 activity holding 10 fragment or more Also I wanted to ask is there any specific reason for starting the presenter cycle from on resume  Also a huge thanks to you all for putting your efforts in making this beautiful sample  Dagger sample stable I need more enlightenment from guys about Android First unofficial sample todomvpfragmentless Hey guys great work on the MVP samples Its always a great reference to implementing this separation of concerns I have a questions about the View contract If the Presenter requires information such as the value of a EditText from the View Should that be exposed in the Viewcontract eg ViewgetEmailAddress @AeroEchelon I think view should set a listener to EditView and when EditViews content changed send this content to Presentereg viewonEditContentChangedstr @Juude What if the presenter needs this state data when the content isnt changing Would it be appropriate to cache this data on demand   Any developer who can help me building this library better one httpsgithubcomamitshekhariitbhuAndroidNetworking Hi everyone Hi @ccparram  Hi guys I wonder if this picture can be freely used in my github project to show architecture of my app to show Architecture of the app.'],489,296,244,39,6.26,0.82,0.02,Topic,Principles and practices,2016,Mobile development,Patterns,
gushphp/gush,https://gitter.im/gushphp/gush,"Members used the group to discuss characteristics of the project conducted in a GitHub account - https://github.com/gushphp/gush. ""Gush is a free shipped docker container"" to Php. This group has 46 messages - they were posted in 2014; 2015 and 2016","[""Gush is a tool that lets you test and test your code in a docker container. Gush can be used by anyone to test their code. It can also be used to test the code on other systems. It has been used by many people over the past several years to test software. The tool is available on GitHub and is available in the GitHub repository. It is also available as a refactoring tool to move the adapters to the adapters on your website. It will live on the docker container in a Docker container and can be tested on any Docker container. You can also test it on the command line using the gushphar command. It also has a built-in test suite to test it in the browser on the gitter thing. It's also available on the git repository on the GitHub site as a tool for testing your code on the web. It was created using git transport which is recommended for git flow. It uses gush bp for branch push then gush pcreate for branch pushing and gushpcreate for merging. It lets you merge your PRs on a solo worfklow gushPmerge 24 gush Pcreate 24 dev merge git branch d  should do the merging and stuff if you use gushbldr block then it is just gush \xa0gush pmerge\xa024 dev mergegit branch d d  we are trying to shorten all of that completely to just dev merge. We are doing a sitepoint article about it. I see you visit the site quite often Gush will get its traction too yes yes i will do that good point on it then i will install the osx app. I will catch you guys later at work atm Have a good one @cordoval Thanks for the invitation   \xa0@Cordoval Interested in a PR for JIRA that makes it show the real users name instead of the nick IMO that would look a lot better @jacobkiers yes i guess we already merged nice good job @jacOBkiers  and thanks good jo b Youre welcome is there a reason the gUSHphar comes without an usrbinenv php I like to put such things into my users bin directory hmm i removed the shebang i think from the stub because i think it could be possible to do this without problem hmm let me check can you please put it back if that fixes your problem @Flyingmana  also i have set it up in usrlocalbingush on puppet vagrant  and it works so not sure why this wouldnt work as I use the phar I cant simple edit it as the signature fails then D to describe it a bit more. If anyone has any remote remote designer or Sysadmin they can post them at httpwebwork @Konafets we lost it lost it but gush still rafets on we actually let it go now we still support raves on we still raves.""]",483,112,113,46,2.46,1.01,0.02,Project,Tools,2014,Containers,Software testing,
hopelessoptimism/data-engineering-101,https://gitter.im/hopelessoptimism/data-engineering-101,It is a pretty small group; with 22 interactions - some posted on 2015 and other; on 2018. Members discussed a little about a workshop that was conducted by a user. This workshop was about Python modules for data mining - Luigi; in this case,['Welcome to Pydata. Anyone else having troubling with pip install r requirementstxt? Fails on various packages cant find package with that particular version. Error Traceback most recent call last File Usershayesvirtualenvsds2libpython27sitepackagesluigiworkerpy line 137 in run newdeps selfrungetnewdeps file mlpipeline.py line 114 in run cfitX y File Users hayes virtualenvsDS2lib python27 sitepackagessklearnnaivebayespy line 474 in fit X y checkXyX y csr File Users  hayevirtualenVSds2 lib python27 sittingepackageluigi workerpy line 88 in rungetnew Deps taskgen selftaskrun File mlp Pipeline. py line 114in run c fitX y. ValueError Found arrays with inconsistent numbers of samples 524 525 @mattayes is your code somewhere I can look at it @GabeMedrash are you using the Anaconda distribution hey guys  Hey @pedroalvesbatista  HOw is going Jonathan  Is this workshop still active  the workshop was actually a one time thing but it was recorded and all of the materials from it are online for folks to go through it if they want this chat is setup if anyone has any questions with the material Cool I will follow the material soon and recreate the results to learn a bit more from building data pipelines with Luigi. Hi I am new to data engineering and currently exploring tools particularly Luigi Airflow and Prefect Currently I am focusing on Prefect I am familiar with Pandas and python It will be very helpful if you can suggest materialbooks online coursereference to learn workflow management and management. Thanks I appreciate the help Jonathan  Im doing the test cases and then will post up the results  Hi @hopelessoptimism Im new to Luigi but want to be able to create a pandas data frame in run and dftoexcel it to make it an output target Im guessing I need a class like luigilocalTarget defined except point it to the output excel file Can you give me some pointers Hi @puruzio that sounds like it should work fine For the localTarget you just need to make sure that the filename in output matches the name of the file you write to in run. Ive forked the repo into my GH so will start to add more stuff and polish the idea I havent used many of the streaming frameworks unfortunately I used Spark streaming a little and looked around at Samza but thats about it'],380,18,29,47,0.62,1.61,0.03,Project,Libraries,2015,Big data,Workshop,
Hotel-Reservation-Project/requirements,https://gitter.im/Hotel-Reservation-Project/requirements,Members discussed requirements of the project they were developing on GitHub. The project is a system for hotel reservations. There are 50 messages exchanged in 2016.,['So Im new to GetHub but I wanted to create this room to keep all of the requirements chatter in one location. I have begun to create the Martian Motel SRS and want to get some input on the ACD and DFD to then begin work on use cases. I think team leads should make their own chat rooms to help keep the focus on individual sections. I left the class diagrams in the plan but JavaScript is not based on classes Well have to use something similar with processes or functions needed We could simulate classes but it would be better to build our own framework of functions that satisfy our process requirements The diagram could display how these functions should interact I think well need a sequence diagram in lieu of a class diagram Justin make sure to work with @Fish5802 I had to switch your roles once we scrapped the graphics team Jeremy is working on some use cases right now Hotel Use Casepdfhttps FilesgitterimHotelReservationProjectrequirements8vXXthumbHotelUseCasejpghttpsfilesgitterinHotel Reservation projectrequirements 8vXXHotel UseCasepdf Updated ver In the future and if we are in need of more for the program management could also have a repair order section for rooms Also customers could have a feedback section as well It looks like we have a good amount to do already but if the need arises just an idea  No problem Let me know what help you need on this portion of the project I posted the SRS I had started so feel free to use or discard whatever you feel is necessary @ fish5802. The members of the team should make significant contributions as appropriate to the project. I would suggest one person primarily responsible for creating and maintaining the documentation for the project MEAN. The software and hardware required for the MEAN project will be used in the development of the Raspberry Pi project. Carlton Wilson should have a document repository so soon we can dump all of our docs into that deal as soon as we can. A work breakdown is helpful as far as you can envision it at the beginning of this should be a living part of your project. The team lead should not be responsible for the hardware to be used for the MeAN project and the software and software required for users of theproject MEAN on most computers. Scenarios are all amazingly helpful at all stages of a project in the early stages of development. We could at least simulate a valid card and an invalid maybe Ok Thats what I was thinking James We dont need real credit card info but something that would show how we would handle invalid credit cards.'],448,7,65,1,65.00,9.29,9.29,Project,Products,2016,Coding,,
IanLunn/Hover,https://gitter.im/IanLunn/Hover,Members ask for help or report a problem regarding the CSS3 plug-in developed by Ian Lunn. This community seems to have few interactions when compared to others,['Hello there hi Hello anyone around Hi If you need help with Hovercss or have a question and Im not around send me a message on Twitterhttpstwittercomianlunn how to change background color for each effect Thanks for the animations sparkles clap  @IanLunn Is there any way to make a hover effect stick programatically I could then use the hover effect to indicate a selected of checked button @GordonSmith I plan on adding this in a future version Heres a pull request you might like to try although its not fully integrated. Anyone tried using mixins on a before pseudo class Is that possible? Just a shoutout to @Ian lunn because THIS IS SO AWESOME @Ianlunn keep building more cool stuffsi am a big follower of your work hey folks i was wondering how i would use the hvrgrow where the class is already classimgresponsive is that doable Does anyone know how to reinitialize the hvrunderlinefromcenter after removing the class    I have a drop down menu button that has this class on when but when I click it the underline stays. I try to remove the class on click and add the class in the second click but it doesnt work. Why hover effect not work on grandchild class?   How do i add this to my railis app rails nevermind Hi I installed the hovercss using npm install my project is in React JS. I use @import urlhovermincss in my css file follow the instructions at the github how to use in a button so didnt work. Hi anyone facing issues using hovercss with Bootstrap  anyone online me httpcssanimationio A CSS Animation Library to help you create stunning animations. hello anybody here Hello how should i change the hVroverlinereveal color it seems that something is blocking it from taking the color im putting hi how do i adding this to the railisapp rails never mind   Hi  Im playing with hovercss and its awesome but most of hover effects are not applying on img element is thereany way to apply those effects on img Element   hi hi just a quick question if anyone is here if i wanted to change the color of the blue in the effect bounce to right or any other effect how would i go about doing that in the css. Any know the formating to combine hover CSS with the animated fadeInDown css @Mobilositycotwitter What exactly are you trying to do Hi i love you all great work and effort'],413,72,50,48,1.04,0.69,0.01,Topic,Libraries,2015,Graphical user interface,Web development,
iBotPeaches/Apktool,https://gitter.im/iBotPeaches/Apktool,Members discuss about hints; problems and how to use resources of Apktool - a tool for reverse engineering 3rd party; closed; binary Android apps (https://ibotpeaches.github.io/Apktool/),['Hi Im trying to use apktool ver 234 to decode an apk file unfortunately it chokes when trying to copy a unknown file Exception in thread main brutandrolibAndrolibException brutdirectoryDirectoryException. Any ideas how to troubleshoot this win10 box no space issues apk files can be unpacked with no problems Hi I a decompiled apk in the files inside the smali directory what do the Vs Is IIs IIIs Fs Zs for example on a method invocation line we have something like this createVirtualNetworkIZZV removeNetworkIV setPermissionLjavalangStringIV invokeOemRilRequestRawBBI  someone can help me use it Anyone else having issues since upgrading to Kali Linux 20184 @johnxu21 Those are various types V is void I is int F is float Z is boolean You can find the list here \xa0@Bartvelp actually Apktool is currently on v234  @ibuprophen1 Wow crazy I missed that so many times thanks for the heads up Everything works properly now I think the migration instructions set me off and I never really checked httpsibotpeachesgithubioApktooldocumentationv230v231 maybe should be updated to include the latest versions  Thats regarding the Migration @BartVELp This is the the Changelog Link I believe that you may be looking for httpsibOTpeaches GitHubioApktoolchanges  Hi Ive been going through the Apktools source for a couple of hours trying to work this out but having no luck When decoding AndroidManifest XML where are the hex values like 0x00001001 4097 for protectionLevel converted into strings for one or multiple protection levels like dangerousinstant. Im not quite sure how to fix it myself by doing something other than apktools emptyframeworkdir force which obviously doesnt work The apk Im trying  to recompile is found here httpmisfitmodscomappsCotoMovies229apk It is using Smob for Mod obfuscation but I dont think it is related Im not used to Markdown but that is my error output @B Bartvelp Actually ApktOOL is currently \xa0on \xa0v234   \xa0### # ## ###\xa0# #\xa0#\xa0â€˜##â€™ #â€™#â€#\u2009â€™â€â€˜â€™ â€™â€™. â€˜â€œâ€. â€â€™\xa0â€\xa0â€œIâ€™m trying to get it workingtroubleshooting hereâ€ #â€I am already on version 231.â€ â€œI have some apks signed and wanna get them decompiled @AndreiLuca99 the following link is a great start for answering your question â€ \xa0â€™I am getting a similar error to httpsgithubcomiBotPeachesApkoolissues1842 I am already\xa0on version 231â€™  â€œ#â€šâ€ The system cannot find the file specified at javaioFileOutputStreamopen0Native Method atjavaioFile outputStreaminitUnknown Source at brutdirectoryDirUtilcopyToDir DirUtiljava84 5 more.'],380,215,1768,40,44.20,8.22,0.21,Topic,Tools,2016,Mobile development,Reverse engineering,
